subj,b_name,a_name,b_offA,a_on_c,a_off_c,rolling_b_on_c,rolling_b_off_c
p2np_s116,tandarts,schaduw,216.8924057,-168.5355244,-36.79339986,-60.18920921,-174.55641
p2np_s116,wortel,vlieg,200.3654216,-133.9487974,-150.5433999,-104.0391616,-45.86810003
p2np_s116,kast,vliegtuig,-71.36825903,-85.49030435,153.3887581,-68.92650791,218.560654
p2np_s116,lamp,zebra,30.24930995,41.10789965,108.7207021,-15.91519721,-123.732696
p2np_s116,doolhof,zee,170.3792598,-48.85488735,-98.65678186,-87.12800561,176.066244
p2np_s117,duif,hemd,275.2628966,-20.50488735,-60.65985286,-3.569822806,298.386778
p2np_s117,duivel,herder,223.4554242,-38.56322035,-52.78658886,-33.37525761,422.754894
p2np_s117,been,mand,257.4661205,112.8524846,16.27827814,49.31998369,56.58354997
p2np_s117,kikker,masker,102.5355675,39.72150165,66.25125814,-46.28901221,530.050235
p2np_s117,kip,naald,281.8080469,226.8459456,215.5473231,-52.80317331,500.497689
p2np_s117,doos,nagel,254.9580363,34.48353865,67.38789014,-9.023761306,434.664078
p2np_s117,tang,pan,350.2286209,130.7077866,-113.0542979,25.26984839,240.017209
p2np_s117,wolf,ridder,135.1063732,215.4395566,286.9909401,-30.16989321,254.208758
p2np_s117,cactus,rits,265.8400232,-79.97942435,-19.54179786,-55.14182451,254.934916
p2np_s117,ladder,schaar,256.7750622,-93.20905435,-61.84648486,22.64438049,114.41474
p2np_s117,tandarts,schaduw,408.2632484,-168.5355244,-36.79339986,-9.457005506,150.971321
p2np_s117,wortel,vlieg,203.3629969,-133.9487974,-150.5433999,46.37173689,15.09168897
p2np_s117,kast,vliegtuig,123.3970462,-85.49030435,153.3887581,-75.82056801,362.790887
p2np_s117,lamp,zebra,202.7838825,41.10789965,108.7207021,4.319412894,149.715123
p2np_s117,doolhof,zee,508.4877168,-48.85488735,-98.65678186,-33.51593981,210.104633
p2np_s118,duivel,herder,172.3268573,-38.56322035,-52.78658886,54.54153959,-132.95003
p2np_s118,been,mand,210.3922004,112.8524846,16.27827814,-57.08304141,163.989437
p2np_s118,kikker,masker,76.08265791,39.72150165,66.25125814,-5.725264406,279.562364
p2np_s118,kip,naald,221.8631963,226.8459456,215.5473231,75.56883249,-0.146399034
p2np_s118,doos,nagel,161.0247248,34.48353865,67.38789014,-52.21684111,374.037126
p2np_s118,tang,pan,293.4665993,130.7077866,-113.0542979,71.37276199,159.169846
p2np_s118,baby,panda,222.9680737,84.11463065,-41.23332986,-38.64881181,455.885882
p2np_s118,wolf,ridder,134.0967787,215.4395566,286.9909401,-97.41966711,254.789249
p2np_s118,cactus,rits,296.5329718,-79.97942435,-19.54179786,-87.99721561,301.010603
p2np_s118,ladder,schaar,250.6224437,-93.20905435,-61.84648486,-4.980244506,322.118487
p2np_s118,tandarts,schaduw,192.4820984,-168.5355244,-36.79339986,60.63873459,-185.14659
p2np_s118,wortel,vlieg,240.318339,-133.9487974,-150.5433999,-28.87029931,291.128461
p2np_s118,lamp,zebra,86.98452117,41.10789965,108.7207021,13.08833609,-11.86141203
p2np_s118,doolhof,zee,450.1755709,-48.85488735,-98.65678186,3.976836894,253.849018
p2np_s119,duif,hemd,268.4529567,-20.50488735,-60.65985286,-39.06441021,208.746435
p2np_s119,kip,naald,34.61833085,226.8459456,215.5473231,35.79514499,349.367676
p2np_s119,doos,nagel,176.1906002,34.48353865,67.38789014,-42.73786751,207.791346
p2np_s119,tang,pan,370.4949817,130.7077866,-113.0542979,-4.594882306,122.220309
p2np_s119,baby,panda,314.8349592,84.11463065,-41.23332986,-78.92816981,407.235484
p2np_s119,wolf,ridder,178.8130214,215.4395566,286.9909401,-25.60714301,137.276404
p2np_s119,cactus,rits,109.8354081,-79.97942435,-19.54179786,-9.040572106,16.04520697
p2np_s119,ladder,schaar,557.1965373,-93.20905435,-61.84648486,-86.47441681,23.09071397
p2np_s119,tandarts,schaduw,346.4628392,-168.5355244,-36.79339986,-55.34306281,237.349717
p2np_s119,wortel,vlieg,264.4666437,-133.9487974,-150.5433999,3.153220094,131.900822
p2np_s119,lamp,zebra,157.8233141,41.10789965,108.7207021,5.419889894,63.25308497
p2np_s119,doolhof,zee,181.0470467,-48.85488735,-98.65678186,-22.83609481,-13.75404203
p2np_s120,duif,hemd,164.6829029,-20.50488735,-60.65985286,-89.93763591,263.335451
p2np_s120,duivel,herder,142.9498386,-38.56322035,-52.78658886,-74.10292161,40.87785397
p2np_s120,been,mand,111.6209037,112.8524846,16.27827814,-89.64910031,301.743122
p2np_s120,kikker,masker,56.41846598,39.72150165,66.25125814,-68.99205251,370.238812
p2np_s120,kip,naald,99.83989456,226.8459456,215.5473231,-77.62011861,-24.97460203
p2np_s120,doos,nagel,107.8123281,34.48353865,67.38789014,-50.43235571,263.850119
p2np_s120,tang,pan,367.3384941,130.7077866,-113.0542979,-174.5487068,98.69523197
p2np_s120,baby,panda,152.5142237,84.11463065,-41.23332986,-113.0649034,-9.840583034
p2np_s120,cactus,rits,80.95798691,-79.97942435,-19.54179786,-85.53954731,307.733094
p2np_s120,tandarts,schaduw,96.87682443,-168.5355244,-36.79339986,-82.59073141,270.962395
p2np_s120,wortel,vlieg,146.8953527,-133.9487974,-150.5433999,-71.81748391,156.059979
p2np_s120,kast,vliegtuig,-42.70272681,-85.49030435,153.3887581,-123.9773673,173.033071
